countryAlphaThreeCode,province,reportedCases
BOL,La Paz,268
BOL,Beni,76
BOL,Pando,12
BRA,Amazonas,3224
BRA,Rondônia,1709
BRA,Acre,265
BRA,Roraima,239
BRA,Pará,74
BRA,Tocatins,3
BRA,Bahia,831
BRA,Espírito Santo,420
BRA,Santa Catarina,165
BRA,Pernambuco,92
BRA,Minas Gerais,83
BRA,Rio de Janeiro,64
BRA,Ceará,39
BRA,Piauí,28
BRA,Maranhão,19
BRA,Mato Grosso,17
BRA,Amapá,7
BRA,Paraná,3
BRA,Sergipe,2
BRA,Paraíba,1
COL,Amazonas,70
COL,Caquetá,1
COL,Meta,1
CUB,Santiago de Cuba,54
CUB,Cienfuegos,20
PER,Loreto,193
PER,Madre de Dios,47
PER,Ucayali,41
PER,Huánuco,8
PER,Tumbes,1